name,brand,price,cpu,gpu,ram_gb,storage_gb,storage_type,display_inch,resolution,weight_kg,os,rating,review_count,url,scraped_at,source
"Asus ZenBook 14, mit 17.3 Zoll Display, Intel Core Ultra 7 155H Prozessor, 32 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4060, Windows 11 Home",Asus,1755.38,Intel Core Ultra 7 155H,NVIDIA GeForce RTX 4060,32,512,SSD,17.3,1920x1080,1.1,Windows 11 Home,4.3,35,,2026-06-15,synthetic
"Dell Latitude 5540, mit 15.6 Zoll Display, Intel Core i9-13900H Prozessor, 24 GB RAM, 1024 GB SSD, AMD Radeon RX 6600M, Windows 11 Home",Dell,1714.45,Intel Core i9-13900H,AMD Radeon RX 6600M,24,1024,SSD,15.6,1920x1080,2.65,Windows 11 Home,4.0,437,,2026-06-15,synthetic
"HP EliteBook 840, mit 14.2 Zoll Display, Intel Core i7-1255U Prozessor, 16 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Windows 11 Home",HP,1351.85,Intel Core i7-1255U,Intel Iris Xe Graphics,16,512,SSD,14.2,3024x1964,2.76,Windows 11 Home,4.7,554,,2026-06-15,synthetic
"HP EliteBook 840, mit 15.6 Zoll Display, Intel Core Ultra 9 185H Prozessor, 32 GB RAM, 128 GB SSD, NVIDIA GeForce RTX 4080, Windows 11 Home",HP,2017.25,Intel Core Ultra 9 185H,NVIDIA GeForce RTX 4080,32,128,SSD,15.6,1920x1080,2.68,Windows 11 Home,5.0,243,,2026-06-15,synthetic
"Dell Alienware m16, mit 17.3 Zoll Display, Intel Core i7-13700H Prozessor, 24 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4080, Windows 11 Home",Dell,2064.09,Intel Core i7-13700H,NVIDIA GeForce RTX 4080,24,512,SSD,17.3,1920x1080,2.39,Windows 11 Home,4.5,180,,2026-06-15,synthetic
"Lenovo IdeaPad 5, mit 15.6 Zoll Display, Intel Core Ultra 7 155H Prozessor, 32 GB RAM, 1024 GB SSD, NVIDIA GeForce RTX 4060, Windows 11 Pro",Lenovo,1717.41,Intel Core Ultra 7 155H,NVIDIA GeForce RTX 4060,32,1024,SSD,15.6,1920x1080,2.79,Windows 11 Pro,4.8,415,,2026-06-15,synthetic
"Samsung Galaxy Book3 Ultra, mit 17.3 Zoll Display, AMD Ryzen 3 7320U Prozessor, 16 GB RAM, 1024 GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Pro",Samsung,1211.73,AMD Ryzen 3 7320U,NVIDIA GeForce RTX 3050,16,1024,SSD,17.3,1920x1080,1.23,Windows 11 Pro,4.0,767,,2026-06-15,synthetic
"Acer Aspire 5, mit 13.3 Zoll Display, AMD Ryzen 5 7535HS Prozessor, 64 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4050, Windows 11 Home",Acer,2082.95,AMD Ryzen 5 7535HS,NVIDIA GeForce RTX 4050,64,512,SSD,13.3,1920x1080,2.64,Windows 11 Home,4.8,161,,2026-06-15,synthetic
"Dell Latitude 5540, mit 11.6 Zoll Display, AMD Ryzen 5 7535HS Prozessor, 16 GB RAM, 256 GB SSD, NVIDIA GeForce RTX 4060, Windows 11 Home",Dell,1527.51,AMD Ryzen 5 7535HS,NVIDIA GeForce RTX 4060,16,256,SSD,11.6,1366x768,2.46,Windows 11 Home,3.9,554,,2026-06-15,synthetic
"HP EliteBook 840, mit 14.2 Zoll Display, AMD Ryzen 7 7735U Prozessor, 64 GB RAM, 1024 GB SSD, AMD Radeon Graphics, Windows 11 Home",HP,1992.73,AMD Ryzen 7 7735U,AMD Radeon Graphics,64,1024,SSD,14.2,3024x1964,3.14,Windows 11 Home,4.7,524,,2026-06-15,synthetic
"HP EliteBook 840, mit 17.3 Zoll Display, Intel Core i9-13900H Prozessor, 16 GB RAM, 2048 GB SSD, NVIDIA GeForce RTX 4050, Windows 11 Home",HP,1669.05,Intel Core i9-13900H,NVIDIA GeForce RTX 4050,16,2048,SSD,17.3,1920x1080,3.01,Windows 11 Home,4.5,505,,2026-06-15,synthetic
"HP ProBook 450, mit 17.3 Zoll Display, Intel Core Ultra 5 125H Prozessor, 16 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home",HP,1011.46,Intel Core Ultra 5 125H,Intel UHD Graphics,16,256,SSD,17.3,1920x1080,2.78,Windows 11 Home,5.0,550,,2026-06-15,synthetic
"Dell Latitude 5540, mit 17.3 Zoll Display, Intel Core i7-13700H Prozessor, 24 GB RAM, 2048 GB SSD, NVIDIA GeForce RTX 4070, Windows 11 Home",Dell,1967.62,Intel Core i7-13700H,NVIDIA GeForce RTX 4070,24,2048,SSD,17.3,1920x1080,2.64,Windows 11 Home,4.6,735,,2026-06-15,synthetic
"Acer Swift 3, mit 14.0 Zoll Display, AMD Ryzen 7 7745HX Prozessor, 16 GB RAM, 512 GB SSD, AMD Radeon RX 7600M, Windows 11 Home",Acer,1468.8,AMD Ryzen 7 7745HX,AMD Radeon RX 7600M,16,512,SSD,14.0,1920x1080,2.25,Windows 11 Home,3.8,729,,2026-06-15,synthetic
"Samsung Galaxy Book3 360, mit 13.6 Zoll Display, Intel Core i5-1335U Prozessor, 16 GB RAM, 256 GB SSD, NVIDIA GeForce RTX 4080, Windows 11 Home",Samsung,1515.39,Intel Core i5-1335U,NVIDIA GeForce RTX 4080,16,256,SSD,13.6,2560x1664,2.56,Windows 11 Home,4.9,595,,2026-06-15,synthetic
"Dell XPS 13, mit 16.0 Zoll Display, Intel Core i9-13900H Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home",Dell,1530.57,Intel Core i9-13900H,NVIDIA GeForce RTX 3060,16,512,SSD,16.0,2560x1600,2.89,Windows 11 Home,3.9,674,,2026-06-15,synthetic
"Acer ConceptD 5, mit 14.2 Zoll Display, Intel Core Ultra 5 125H Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Home",Acer,1411.14,Intel Core Ultra 5 125H,NVIDIA GeForce RTX 3050,16,512,SSD,14.2,3024x1964,1.96,Windows 11 Home,4.8,82,,2026-06-15,synthetic
"Microsoft Surface Laptop Studio 2, mit 14.0 Zoll Display, Intel Core i5-1235U Prozessor, 32 GB RAM, 2048 GB SSD, AMD Radeon RX 7600M, Ohne OS",Microsoft,2010.04,Intel Core i5-1235U,AMD Radeon RX 7600M,32,2048,SSD,14.0,1920x1080,1.28,Ohne OS,4.4,223,,2026-06-15,synthetic
"Lenovo Legion 5, mit 17.3 Zoll Display, AMD Ryzen 5 7535HS Prozessor, 24 GB RAM, 256 GB SSD, NVIDIA GeForce RTX 3060, Linux",Lenovo,1581.17,AMD Ryzen 5 7535HS,NVIDIA GeForce RTX 3060,24,256,SSD,17.3,1920x1080,1.26,Linux,4.2,64,,2026-06-15,synthetic
"Lenovo ThinkPad X1 Carbon, mit 13.6 Zoll Display, Intel Core i5-1235U Prozessor, 16 GB RAM, 1024 GB SSD, Intel UHD Graphics, Windows 11 Home",Lenovo,1027.92,Intel Core i5-1235U,Intel UHD Graphics,16,1024,SSD,13.6,2560x1664,1.03,Windows 11 Home,4.4,195,,2026-06-15,synthetic
"Acer Nitro 5, mit 11.6 Zoll Display, AMD Ryzen 5 7535HS Prozessor, 16 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Linux",Acer,1050.71,AMD Ryzen 5 7535HS,Intel Iris Xe Graphics,16,512,SSD,11.6,1366x768,2.32,Linux,4.3,602,,2026-06-15,synthetic
"MSI Stealth 16, mit 17.3 Zoll Display, AMD Ryzen 3 7320U Prozessor, 8 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Home",MSI,1004.34,AMD Ryzen 3 7320U,NVIDIA GeForce RTX 3050,8,512,SSD,17.3,1920x1080,1.63,Windows 11 Home,4.7,79,,2026-06-15,synthetic
"LG gram +2-in-1, mit 13.3 Zoll Display, Intel Core i5-1335U Prozessor, 16 GB RAM, 1024 GB SSD, NVIDIA GeForce RTX 4080, Windows 11 Home",LG,1825.91,Intel Core i5-1335U,NVIDIA GeForce RTX 4080,16,1024,SSD,13.3,1920x1080,2.92,Windows 11 Home,4.2,166,,2026-06-15,synthetic
"Acer Nitro 5, mit 13.6 Zoll Display, Intel Core i3-1215U Prozessor, 16 GB RAM, 512 GB SSD, AMD Radeon RX 7600M, Windows 11 Pro",Acer,1105.36,Intel Core i3-1215U,AMD Radeon RX 7600M,16,512,SSD,13.6,2560x1664,1.51,Windows 11 Pro,4.9,765,,2026-06-15,synthetic
"HP Spectre x360, mit 14.2 Zoll Display, AMD Ryzen 3 7320U Prozessor, 32 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Pro",HP,1333.7,AMD Ryzen 3 7320U,NVIDIA GeForce RTX 3050,32,512,SSD,14.2,3024x1964,2.98,Windows 11 Pro,4.8,99,,2026-06-15,synthetic
"Lenovo ThinkPad E14, mit 11.6 Zoll Display, Intel Core i7-1355U Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4070, Windows 11 Home",Lenovo,1663.0,Intel Core i7-1355U,NVIDIA GeForce RTX 4070,16,512,SSD,11.6,1366x768,1.16,Windows 11 Home,4.9,712,,2026-06-15,synthetic
